Orthogroup_ID	transcript_ID_native	Flybase	Flybase_summary	CAFE_p-value	I_luminosus_num_GF_members	A_verrucosus_num_GF_members	P_pyralis_num_GF_members	D_ponderosae_num_GF_members	B_siliquastri_num_GF_members	A_obtectus_num_GF_members	C_chinensis_num_GF_members	Z_morio_num_GF_members	D_melanogaster_num_GF_members	R_ferrugineus_num_GF_members	C_septempunctata_num_GF_members	T_castaneum_num_GF_members	C_maculatus_num_GF_members	T_molitor_num_GF_members	max_delta_GF
N0.HOG0000162	rna-NM_137834.3	FBgn0034736	The gene gasoline is referred to in FlyBase by the symbol Dmel\gas (CG6018, FBgn0034736). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:22550094..22552113. Its molecular function is described by: carboxylesterase activity; serine hydrolase activity. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; abnormal heat stress response. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed within 06-12 hour embryonic stages.  		0.0	6	10	12	4	3	3	2	27	13	7	3	10	3	26	25
N0.HOG0000162	rna-NM_001275416.2	FBgn0015570	The gene alpha-Esterase-2 is referred to in FlyBase by the symbol Dmel\α-Est2 (CG2505, FBgn0015570). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3R:7541810..7545230. Its molecular function is described by: carboxylesterase activity. The biological processes in which it is involved are not known. 7 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed during late larval stages.  		0.0	6	10	12	4	3	3	2	27	13	7	3	10	3	26	25
N0.HOG0000162	rna-NM_169187.3	FBgn0015577	The gene alpha-Esterase-9 is referred to in FlyBase by the symbol Dmel\α-Est9 (CG1128, FBgn0015577). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 3R:7493921..7505098. Its molecular function is described by: carboxylesterase activity; cholinesterase activity. The biological processes in which it is involved are not known. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages.  		0.0	6	10	12	4	3	3	2	27	13	7	3	10	3	26	25
N0.HOG0000162	rna-NM_079535.3	FBgn0015576	The gene alpha-Esterase-8 is referred to in FlyBase by the symbol Dmel\α-Est8 (CG1121, FBgn0015576). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:7509343..7515670. Its molecular function is described by: carboxylesterase activity. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of no expression detected.  Peak expression observed in adult male stages.  		0.0	6	10	12	4	3	3	2	27	13	7	3	10	3	26	25
N0.HOG0000162	rna-NM_001260033.2	FBgn0015569	The gene alpha-Esterase-10 is referred to in FlyBase by the symbol Dmel\α-Est10 (CG1131, FBgn0015569). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (all unique). Gene sequence location is 3R:7486583..7493845. Its molecular function is described by: serine hydrolase activity; carboxylesterase activity. The biological processes in which it is involved are not known. 17 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed within 12-18 embryonic stages, during late pupal stages.  		0.0	6	10	12	4	3	3	2	27	13	7	3	10	3	26	25
N0.HOG0000162	rna-NM_079537.4	FBgn0015575	The gene alpha-Esterase-7 is referred to in FlyBase by the symbol Dmel\α-Est7 (CG1112, FBgn0015575). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:7519563..7523753. Its molecular function is described by: serine hydrolase activity; carboxylesterase activity. It is involved in the biological process described with: response to organophosphorus; lipid storage; determination of adult lifespan. 11 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: chemical resistant; chemical sensitive; short lived; viable; electrophoretic variant. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed at stages throughout the larval period, in adult male stages.  		0.0	6	10	12	4	3	3	2	27	13	7	3	10	3	26	25
N0.HOG0000162	rna-NM_001300281.1	FBgn0015571	The gene alpha-Esterase-3 is referred to in FlyBase by the symbol Dmel\α-Est3 (CG1257, FBgn0015571). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (2 unique). Gene sequence location is 3R:7538972..7541631. Its molecular function is described by: carboxylesterase activity; serine hydrolase activity. The biological processes in which it is involved are not known. 8 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed in adult male stages.  		0.0	6	10	12	4	3	3	2	27	13	7	3	10	3	26	25
N0.HOG0000162	rna-NM_079538.3	FBgn0015574	The gene alpha-Esterase-6 is referred to in FlyBase by the symbol Dmel\α-Est6 (CG1108, FBgn0015574). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:7524567..7528777. Its molecular function is described by: carboxylesterase activity. The biological processes in which it is involved are not known. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed in adult male stages.  		0.0	6	10	12	4	3	3	2	27	13	7	3	10	3	26	25
N0.HOG0000162	rna-NM_001260036.2	FBgn0261393	The gene alpha-Esterase-5 is referred to in FlyBase by the symbol Dmel\α-Est5 (CG1089, FBgn0261393). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 3R:7533496..7536390. Its molecular function is described by: carboxylesterase activity; serine hydrolase activity. The biological processes in which it is involved are not known. 23 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; electrophoretic variant. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of low expression.  Peak expression observed within 00-06 hour embryonic stages, at stages throughout the larval period.  		0.0	6	10	12	4	3	3	2	27	13	7	3	10	3	26	25
N0.HOG0000162	rna-NM_079542.4	FBgn0015572	The gene alpha-Esterase-4 is referred to in FlyBase by the symbol Dmel\α-Est4 (CG1082, FBgn0015572). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:7536687..7538615. Its molecular function is described by: carboxylesterase activity. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of very low expression.  Peak expression observed during late larval stages.  		0.0	6	10	12	4	3	3	2	27	13	7	3	10	3	26	25
N0.HOG0000162	rna-NM_001300558.1	FBgn0039084	None	0.0	6	10	12	4	3	3	2	27	13	7	3	10	3	26	25
N0.HOG0000168	rna-NM_001032159.2	FBgn0053890	The gene His2B:CG33890 is referred to in FlyBase by the symbol Dmel\His2B:CG33890 (CG33890, FBgn0053890). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21482504..21483098. Its molecular function is described by: DNA binding; protein-containing complex binding; protein heterodimerization activity; structural constituent of chromatin. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032184.2	FBgn0053880	The gene His2B:CG33880 is referred to in FlyBase by the symbol Dmel\His2B:CG33880 (CG33880, FBgn0053880). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21507843..21508437. Its molecular function is described by: DNA binding; protein-containing complex binding; protein heterodimerization activity; structural constituent of chromatin. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032169.2	FBgn0053886	The gene His2B:CG33886 is referred to in FlyBase by the symbol Dmel\His2B:CG33886 (CG33886, FBgn0053886). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21492700..21493294. Its molecular function is described by: protein-containing complex binding; DNA binding; structural constituent of chromatin; protein heterodimerization activity. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032214.2	FBgn0053868	The gene His2B:CG33868 is referred to in FlyBase by the symbol Dmel\His2B:CG33868 (CG33868, FBgn0053868). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21537505..21538099. Its molecular function is described by: protein-containing complex binding; DNA binding; structural constituent of chromatin; protein heterodimerization activity. It is involved in the biological process described with: chromatin organization. One allele is reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032204.2	FBgn0053872	The gene His2B:CG33872 is referred to in FlyBase by the symbol Dmel\His2B:CG33872 (CG33872, FBgn0053872). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21527618..21528212. Its molecular function is described by: protein heterodimerization activity; structural constituent of chromatin; DNA binding; protein-containing complex binding. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032116.2	FBgn0053908	The gene His2B:CG33908 is referred to in FlyBase by the symbol Dmel\His2B:CG33908 (CG33908, FBgn0053908). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21428075..21428669. Its molecular function is described by: protein heterodimerization activity; structural constituent of chromatin; DNA binding; protein-containing complex binding. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032149.2	FBgn0053894	The gene His2B:CG33894 is referred to in FlyBase by the symbol Dmel\His2B:CG33894 (CG33894, FBgn0053894). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21472418..21473012. Its molecular function is described by: protein-containing complex binding; DNA binding; structural constituent of chromatin; protein heterodimerization activity. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032179.2	FBgn0053882	The gene His2B:CG33882 is referred to in FlyBase by the symbol Dmel\His2B:CG33882 (CG33882, FBgn0053882). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21502798..21503392. Its molecular function is described by: DNA binding; protein-containing complex binding; protein heterodimerization activity; structural constituent of chromatin. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032139.2	FBgn0053898	The gene His2B:CG33898 is referred to in FlyBase by the symbol Dmel\His2B:CG33898 (CG33898, FBgn0053898). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21462332..21462926. Its molecular function is described by: protein heterodimerization activity; structural constituent of chromatin; DNA binding; protein-containing complex binding. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032154.2	FBgn0053892	The gene His2B:CG33892 is referred to in FlyBase by the symbol Dmel\His2B:CG33892 (CG33892, FBgn0053892). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21477461..21478055. Its molecular function is described by: protein heterodimerization activity; structural constituent of chromatin; DNA binding; protein-containing complex binding. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032199.2	FBgn0053874	The gene His2B:CG33874 is referred to in FlyBase by the symbol Dmel\His2B:CG33874 (CG33874, FBgn0053874). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21522775..21523369. Its molecular function is described by: protein-containing complex binding; DNA binding; structural constituent of chromatin; protein heterodimerization activity. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032194.2	FBgn0053876	The gene His2B:CG33876 is referred to in FlyBase by the symbol Dmel\His2B:CG33876 (CG33876, FBgn0053876). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21517932..21518526. Its molecular function is described by: structural constituent of chromatin; protein heterodimerization activity; protein-containing complex binding; DNA binding. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032174.2	FBgn0053884	The gene His2B:CG33884 is referred to in FlyBase by the symbol Dmel\His2B:CG33884 (CG33884, FBgn0053884). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21497745..21498339. Its molecular function is described by: DNA binding; protein-containing complex binding; protein heterodimerization activity; structural constituent of chromatin. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032125.2	FBgn0053904	The gene His2B:CG33904 is referred to in FlyBase by the symbol Dmel\His2B:CG33904 (CG33904, FBgn0053904). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21438170..21438764. Its molecular function is described by: structural constituent of chromatin; protein heterodimerization activity; protein-containing complex binding; DNA binding. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032164.2	FBgn0053888	The gene His2B:CG33888 is referred to in FlyBase by the symbol Dmel\His2B:CG33888 (CG33888, FBgn0053888). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21487655..21488249. Its molecular function is described by: protein heterodimerization activity; structural constituent of chromatin; DNA binding; protein-containing complex binding. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032120.2	FBgn0053906	The gene His2B:CG33906 is referred to in FlyBase by the symbol Dmel\His2B:CG33906 (CG33906, FBgn0053906). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21433122..21433716. Its molecular function is described by: protein heterodimerization activity; structural constituent of chromatin; DNA binding; protein-containing complex binding. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032189.2	FBgn0053878	The gene His2B:CG33878 is referred to in FlyBase by the symbol Dmel\His2B:CG33878 (CG33878, FBgn0053878). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21512887..21513481. Its molecular function is described by: structural constituent of chromatin; protein heterodimerization activity; protein-containing complex binding; DNA binding. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032144.2	FBgn0053896	The gene His2B:CG33896 is referred to in FlyBase by the symbol Dmel\His2B:CG33896 (CG33896, FBgn0053896). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21467375..21467969. Its molecular function is described by: DNA binding; protein-containing complex binding; protein heterodimerization activity; structural constituent of chromatin. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032134.2	FBgn0053900	The gene His2B:CG33900 is referred to in FlyBase by the symbol Dmel\His2B:CG33900 (CG33900, FBgn0053900). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21457272..21457866. Its molecular function is described by: structural constituent of chromatin; protein heterodimerization activity; protein-containing complex binding; DNA binding. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032129.2	FBgn0053902	The gene His2B:CG33902 is referred to in FlyBase by the symbol Dmel\His2B:CG33902 (CG33902, FBgn0053902). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21452211..21452805. Its molecular function is described by: structural constituent of chromatin; protein heterodimerization activity; protein-containing complex binding; DNA binding. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032209.2	FBgn0053870	The gene His2B:CG33870 is referred to in FlyBase by the symbol Dmel\His2B:CG33870 (CG33870, FBgn0053870). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21532461..21533055. Its molecular function is described by: protein heterodimerization activity; structural constituent of chromatin; DNA binding; protein-containing complex binding. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_165381.4	FBgn0061209	The gene His2B:CG17949 is referred to in FlyBase by the symbol Dmel\His2B:CG17949 (CG17949, FBgn0061209). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21423014..21423608. Its molecular function is described by: protein heterodimerization activity; structural constituent of chromatin; DNA binding; protein-containing complex binding. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely low expression to a trough of no expression detected.  Peak expression observed within 00-18 hour embryonic stages, during early pupal stages, in stages of adults of both sexes.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000168	rna-NM_001032112.2	FBgn0053910	The gene His2B:CG33910 is referred to in FlyBase by the symbol Dmel\His2B:CG33910 (CG33910, FBgn0053910). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:21418112..21418706. Its molecular function is described by: structural constituent of chromatin; protein heterodimerization activity; protein-containing complex binding; DNA binding. It is involved in the biological process described with: chromatin organization. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  No expression detected at any stage of development.  CAVEAT: These RNA-Seq temporal profiles depend upon RNA-Seq reads that are uniquely placed in the genome.  For this reason, genes such as histones, Stellates and many classes of RNA genes that are present in multiple exact or near exact copies in the genome, expression levels may be reported as much lower than their true values.		0.0	1	3	2	1	1	33	3	11	23	11	21	12	1	4	32
N0.HOG0000170	rna-NM_169113.3	FBgn0037387	This gene is referred to in FlyBase by the symbol Dmel\CG1213 (FBgn0037387). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (1 unique). Gene sequence location is 3R:5841170..5846568. Its molecular function is described by: transmembrane transporter activity; sugar transmembrane transporter activity. It is involved in the biological process described with: carbohydrate transport; transmembrane transport. 6 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: fertile; abnormal flight; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed during late pupal stages, in adult male stages.  		0.0	2	7	4	6	8	6	8	22	1	7	9	15	12	14	21
N0.HOG0000175	rna-NM_079011.3	FBgn0013770	The gene Cathepsin L1 is referred to in FlyBase by the symbol Dmel\CtsL1 (CG6692, FBgn0013770). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (all unique). Gene sequence location is 2R:13960675..13967981. Its molecular function is described by: peptidase activity; cysteine-type peptidase activity; cysteine-type endopeptidase activity. It is involved in the biological process described with: proteolysis involved in protein catabolic process; proteolysis. 46 alleles are reported. The phenotypes of these alleles manifest in: germline cyst; plasma membrane bounded cell projection; acellular anatomical structure; egg; primordium. The phenotypic classes of alleles include: abnormal cell death; phenotype; fertile; chemical resistant. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of high expression.  Peak expression observed at stages throughout embryogenesis, at stages throughout the larval period, at stages throughout the pupal period, in stages of adults of both sexes.  		0.002	9	6	2	7	12	11	8	8	1	14	13	5	11	9	13
